Description,38mm dia @200mm,42mm dia @140mm,42mm dia @80mm,Base Angle F,Base Angle BR,Base Angle BL,162mm taper F,162mm taper BR,162mm taper BL,40.5mm taper F,40.5mm taper BR,40.5mm taper BL,Top 1,Top 2,Top 3,Top 4
NominalValue,38,42,42,70,70,70,162,162,162,40.5,40.5,40.5,222,222,222,222
LowerBound,-0.4,-0.4,-0.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-5,-5,-5,-5
UpperBound,0.4,0.4,0.4,1,1,1,1,1,1,1,1,1,15,15,15,15
part ID,,,,,,,,,,,,,,,,
51,38.231,42.161,42.287,70.447,70.217,70.268,163.372,163.573,163.407,40.945,40.915,40.862,229.66,229.926,230.323,230.452
53,38.222,42.155,42.186,70.668,70.702,70.373,163.174,163.401,163.311,40.954,41.164,41.016,230.561,228.829,228.96,230.028
54,38.22,42.138,42.171,70.667,70.669,70.474,162.783,163.174,163.308,40.962,40.811,40.975,230.095,231.707,231.331,230.641
55,38.232,42.153,42.116,70.197,70.616,70.23,163.128,163.13,163.502,41.114,40.886,41,229.607,230.818,231.334,229.655
56,38.214,42.142,42.086,70.291,70.435,70.553,163.495,163.116,163.076,41.052,41.076,40.975,231.218,230.065,229.7,231.691
57,38.216,42.137,42.136,70.744,70.729,70.378,163.213,163.14,162.813,41.084,40.877,41.007,230.143,231.245,231.23,230.297
58,38.214,42.125,42.216,70.535,70.245,70.264,163.349,162.729,163.122,40.766,40.875,40.665,232.099,231.113,230.883,231.775
59,38.197,42.114,42.271,69.916,69.783,70.137,162.991,162.658,162.739,40.559,40.496,40.401,232.811,231.68,232.081,232.876
61,38.229,42.148,42.364,70.327,69.947,69.954,163.283,162.55,163.171,40.832,40.596,40.558,230.949,231.655,231.813,230.595
62,38.222,42.145,42.274,70.597,70.364,70.337,163.148,162.714,162.993,40.761,40.711,40.964,231.142,231.7,231.862,231.612
63,38.21,42.129,42.251,70.251,70.434,70.353,162.981,163.29,163.247,40.751,40.717,40.647,232.084,231.362,231.645,232.021
64,38.212,42.109,42.158,70.557,70.776,70.644,162.749,163.043,163.265,40.979,40.712,40.827,231.393,232.03,231.995,231.781
65,38.198,42.085,42.16,70.249,70.615,70.239,163.15,163.143,163.156,40.727,40.744,40.843,231.972,232.732,232.442,231.257
66,38.257,42.101,42.09,70.127,70.193,70.137,163.249,163.405,162.759,40.711,40.844,40.683,233.371,232.022,232.331,233.499
_67,38.241,42.091,42.101,70.24,70.132,69.659,163.05,163.161,162.856,40.761,40.667,40.389,233.125,232.901,233.501,233.557
68,38.208,42.079,42.147,69.729,69.711,69.65,162.975,162.95,162.796,40.248,40.117,40.293,235.236,235.793,235.693,234.669
69,38.231,42.132,42.194,70.162,69.686,69.774,163.257,163.295,163.354,40.65,40.629,40.743,232.135,232.224,232.558,231.745
70,38.21,42.129,42.286,69.905,69.492,69.837,162.861,163.348,163.29,40.279,40.551,40.397,232.546,231.85,232.312,*233.5
71,38.204,42.122,42.272,69.537,69.549,69.901,162.973,163.328,163.008,40.411,40.535,40.269,233.157,232.871,232.347,232.815
72,38.22,42.127,42.256,69.795,69.642,69.678,162.966,162.539,163.009,40.481,40.375,40.384,232.498,233.158,232.969,231.915
73,38.228,42.122,42.135,70.048,69.702,69.91,163.058,163.27,162.846,40.671,40.387,40.554,232.485,233.445,233.544,232.244
74,38.229,42.108,42.037,70.158,70.139,69.968,162.992,163.204,163.398,40.666,40.787,40.501,233.201,232.645,233.509,233.749
75,38.214,42.13,41.99,70.081,69.68,69.868,163.152,163.104,162.621,40.68,40.66,40.578,233.325,233.128,233.35,233.939
76,38.229,42.118,41.992,69.978,70.167,69.801,163.035,162.998,163.287,40.661,40.351,40.632,233.234,233.727,234.049,233.323
77,38.215,42.119,*42.1,69.939,69.98,69.806,162.687,162.868,162.952,40.513,40.475,40.437,232.975,233.689,233.385,233.03
78,38.21,42.117,42.071,69.541,69.268,69.485,162.798,162.947,163.242,40.608,40.236,40.558,232.372,233.328,234.05,233.511
79,38.191,42.086,42.191,69.647,69.779,69.738,162.907,162.916,162.65,40.318,40.392,40.218,235.253,234.112,232.833,234.176
